"Boro","Year","fam_dir_sum","fam_ast_sum","dv_ast_sum","rp_sum"
"Bronx",2017,42766,1578,4552,352
"Bronx",2018,72450,2851,7594,747
"Bronx",2019,52874,2131,6679,712
"Bronx",2020,47324,1977,6571,552
"Brooklyn",2017,52554,1908,4962,420
"Brooklyn",2018,25788,1031,2588,309
"Brooklyn",2019,19524,733,2169,272
"Brooklyn",2020,17868,669,2043,198
"Manhattan",2017,25742,762,2160,200
"Manhattan",2018,26702,728,2180,264
"Manhattan",2019,20654,688,2090,252
"Manhattan",2020,18594,518,1822,146
"Queens",2017,32678,1278,3494,346
"Queens",2018,33164,1502,3712,486
"Queens",2019,27818,1334,3636,468
"Queens",2020,27714,1132,3596,334
"Staten Island",2017,9368,218,596,72
"Staten Island",2018,9220,198,520,102
"Staten Island",2019,7082,178,470,76
"Staten Island",2020,5964,176,500,38
